"Leveringssektor";"måned";"statistikkvariabel";"11117: Konsumprisindeks for varer og tjenester, etter Leveringssektor, måned og statistikkvariabel"
"B11 Norske varer";"2015M07";"12-måneders endring (prosent)";..
"B11 Norske varer";"2015M07";"Konsumprisindeksen. Vekter";183,6
"B11 Norske varer";"2015M08";"Konsumprisindeksen (2015=100)";99,3
"B11 Norske varer";"2015M08";"Månedsendring (prosent)";-0,5
"B11 Norske varer";"2015M08";"12-måneders endring (prosent)";..
"B11 Norske varer";"2015M08";"Konsumprisindeksen. Vekter";183,6
"B11 Norske varer";"2015M09";"Konsumprisindeksen (2015=100)";99,4
"B11 Norske varer";"2015M09";"Månedsendring (prosent)";0,1
"B11 Norske varer";"2015M09";"12-måneders endring (prosent)";..
"B11 Norske varer";"2015M09";"Konsumprisindeksen. Vekter";183,6
"B11 Norske varer";"2015M10";"Konsumprisindeksen (2015=100)";100,3
"B11 Norske varer";"2015M10";"Månedsendring (prosent)";0,9
"B11 Norske varer";"2015M10";"12-måneders endring (prosent)";..
"B11 Norske varer";"2015M10";"Konsumprisindeksen. Vekter";183,6
"B11 Norske varer";"2015M11";"Konsumprisindeksen (2015=100)";101,9
"B11 Norske varer";"2015M11";"Månedsendring (prosent)";1,6
"B11 Norske varer";"2015M11";"12-måneders endring (prosent)";..
"B11 Norske varer";"2015M11";"Konsumprisindeksen. Vekter";183,6
"B11 Norske varer";"2015M12";"Konsumprisindeksen (2015=100)";100,1
"B11 Norske varer";"2015M12";"Månedsendring (prosent)";-1,8
"B11 Norske varer";"2015M12";"12-måneders endring (prosent)";..
"B11 Norske varer";"2015M12";"Konsumprisindeksen. Vekter";183,6
"B11 Norske varer";"2016M01";"Konsumprisindeksen (2015=100)";103,1
"B11 Norske varer";"2016M01";"Månedsendring (prosent)";3
"B11 Norske varer";"2016M01";"12-måneders endring (prosent)";2,8
"B11 Norske varer";"2016M01";"Konsumprisindeksen. Vekter";184,7
"B11 Norske varer";"2016M02";"Konsumprisindeksen (2015=100)";103,2
"B11 Norske varer";"2016M02";"Månedsendring (prosent)";0,1
"B11 Norske varer";"2016M02";"12-måneders endring (prosent)";2,5
"B11 Norske varer";"2016M02";"Konsumprisindeksen. Vekter";184,7
"B11 Norske varer";"2016M03";"Konsumprisindeksen (2015=100)";101,9
"B11 Norske varer";"2016M03";"Månedsendring (prosent)";-1,3
"B11 Norske varer";"2016M03";"12-måneders endring (prosent)";2,4
"B11 Norske varer";"2016M03";"Konsumprisindeksen. Vekter";184,7
"B11 Norske varer";"2016M04";"Konsumprisindeksen (2015=100)";103,6
"B11 Norske varer";"2016M04";"Månedsendring (prosent)";1,7
"B11 Norske varer";"2016M04";"12-måneders endring (prosent)";3,7
"B11 Norske varer";"2016M04";"Konsumprisindeksen. Vekter";184,7
"B11 Norske varer";"2016M05";"Konsumprisindeksen (2015=100)";103,4
"B11 Norske varer";"2016M05";"Månedsendring (prosent)";-0,2
"B11 Norske varer";"2016M05";"12-måneders endring (prosent)";3,9
"B11 Norske varer";"2016M05";"Konsumprisindeksen. Vekter";184,7
"B11 Norske varer";"2016M06";"Konsumprisindeksen (2015=100)";105,1
"B11 Norske varer";"2016M06";"Månedsendring (prosent)";1,6
"B11 Norske varer";"2016M06";"12-måneders endring (prosent)";5,8
"B11 Norske varer";"2016M06";"Konsumprisindeksen. Vekter";184,7
"B11 Norske varer";"2016M07";"Konsumprisindeksen (2015=100)";106,8
"B11 Norske varer";"2016M07";"Månedsendring (prosent)";1,6
"B11 Norske varer";"2016M07";"12-måneders endring (prosent)";7
"B11 Norske varer";"2016M07";"Konsumprisindeksen. Vekter";184,7
"B11 Norske varer";"2016M08";"Konsumprisindeksen (2015=100)";105,7
"B11 Norske varer";"2016M08";"Månedsendring (prosent)";-1
"B11 Norske varer";"2016M08";"12-måneders endring (prosent)";6,4
"B11 Norske varer";"2016M08";"Konsumprisindeksen. Vekter";184,7
"B11 Norske varer";"2016M09";"Konsumprisindeksen (2015=100)";105,2
"B11 Norske varer";"2016M09";"Månedsendring (prosent)";-0,5
"B11 Norske varer";"2016M09";"12-måneders endring (prosent)";5,8
"B11 Norske varer";"2016M09";"Konsumprisindeksen. Vekter";184,7
"B11 Norske varer";"2016M10";"Konsumprisindeksen (2015=100)";106,9
"B11 Norske varer";"2016M10";"Månedsendring (prosent)";1,6
"B11 Norske varer";"2016M10";"12-måneders endring (prosent)";6,6
"B11 Norske varer";"2016M10";"Konsumprisindeksen. Vekter";184,7
"B11 Norske varer";"2016M11";"Konsumprisindeksen (2015=100)";109
"B11 Norske varer";"2016M11";"Månedsendring (prosent)";2
"B11 Norske varer";"2016M11";"12-måneders endring (prosent)";7
"B11 Norske varer";"2016M11";"Konsumprisindeksen. Vekter";184,7
"B11 Norske varer";"2016M12";"Konsumprisindeksen (2015=100)";106,4
"B11 Norske varer";"2016M12";"Månedsendring (prosent)";-2,4
"B11 Norske varer";"2016M12";"12-måneders endring (prosent)";6,3
"B11 Norske varer";"2016M12";"Konsumprisindeksen. Vekter";184,7
"B11 Norske varer";"2017M01";"Konsumprisindeksen (2015=100)";107,5
"B11 Norske varer";"2017M01";"Månedsendring (prosent)";1
"B11 Norske varer";"2017M01";"12-måneders endring (prosent)";4,3
"B11 Norske varer";"2017M01";"Konsumprisindeksen. Vekter";180,3
"B11 Norske varer";"2017M02";"Konsumprisindeksen (2015=100)";108,3
"B11 Norske varer";"2017M02";"Månedsendring (prosent)";0,7
"B11 Norske varer";"2017M02";"12-måneders endring (prosent)";4,9
"B11 Norske varer";"2017M02";"Konsumprisindeksen. Vekter";180,3
"B11 Norske varer";"2017M03";"Konsumprisindeksen (2015=100)";107,6
"B11 Norske varer";"2017M03";"Månedsendring (prosent)";-0,6
"B11 Norske varer";"2017M03";"12-måneders endring (prosent)";5,6
"B11 Norske varer";"2017M03";"Konsumprisindeksen. Vekter";180,3
"B11 Norske varer";"2017M04";"Konsumprisindeksen (2015=100)";105,9
"B11 Norske varer";"2017M04";"Månedsendring (prosent)";-1,6
"B11 Norske varer";"2017M04";"12-måneders endring (prosent)";2,2
"B11 Norske varer";"2017M04";"Konsumprisindeksen. Vekter";180,3
"B11 Norske varer";"2017M05";"Konsumprisindeksen (2015=100)";107,3
"B11 Norske varer";"2017M05";"Månedsendring (prosent)";1,3
"B11 Norske varer";"2017M05";"12-måneders endring (prosent)";3,8
"B11 Norske varer";"2017M05";"Konsumprisindeksen. Vekter";180,3
"B11 Norske varer";"2017M06";"Konsumprisindeksen (2015=100)";107,6
"B11 Norske varer";"2017M06";"Månedsendring (prosent)";0,3
"B11 Norske varer";"2017M06";"12-måneders endring (prosent)";2,4
"B11 Norske varer";"2017M06";"Konsumprisindeksen. Vekter";180,3
"B11 Norske varer";"2017M07";"Konsumprisindeksen (2015=100)";109,2
"B11 Norske varer";"2017M07";"Månedsendring (prosent)";1,5
"B11 Norske varer";"2017M07";"12-måneders endring (prosent)";2,2
"B11 Norske varer";"2017M07";"Konsumprisindeksen. Vekter";180,3
"B11 Norske varer";"2017M08";"Konsumprisindeksen (2015=100)";107,5
"B11 Norske varer";"2017M08";"Månedsendring (prosent)";-1,6
"B11 Norske varer";"2017M08";"12-måneders endring (prosent)";1,7
"B11 Norske varer";"2017M08";"Konsumprisindeksen. Vekter";180,3
"B11 Norske varer";"2017M09";"Konsumprisindeksen (2015=100)";107,8
"B11 Norske varer";"2017M09";"Månedsendring (prosent)";0,3
"B11 Norske varer";"2017M09";"12-måneders endring (prosent)";2,5
"B11 Norske varer";"2017M09";"Konsumprisindeksen. Vekter";180,3
"B11 Norske varer";"2017M10";"Konsumprisindeksen (2015=100)";107
"B11 Norske varer";"2017M10";"Månedsendring (prosent)";-0,7
"B11 Norske varer";"2017M10";"12-måneders endring (prosent)";0,1
"B11 Norske varer";"2017M10";"Konsumprisindeksen. Vekter";180,3
"B11 Norske varer";"2017M11";"Konsumprisindeksen (2015=100)";109
"B11 Norske varer";"2017M11";"Månedsendring (prosent)";1,9
"B11 Norske varer";"2017M11";"12-måneders endring (prosent)";0
"B11 Norske varer";"2017M11";"Konsumprisindeksen. Vekter";180,3
"B11 Norske varer";"2017M12";"Konsumprisindeksen (2015=100)";107,8
"B11 Norske varer";"2017M12";"Månedsendring (prosent)";-1,1
"B11 Norske varer";"2017M12";"12-måneders endring (prosent)";1,3
"B11 Norske varer";"2017M12";"Konsumprisindeksen. Vekter";180,3
"B11 Norske varer";"2018M01";"Konsumprisindeksen (2015=100)";110,4
"B11 Norske varer";"2018M01";"Månedsendring (prosent)";2,4
"B11 Norske varer";"2018M01";"12-måneders endring (prosent)";2,7
"B11 Norske varer";"2018M01";"Konsumprisindeksen. Vekter";175,3
"B11 Norske varer";"2018M02";"Konsumprisindeksen (2015=100)";113,2
"B11 Norske varer";"2018M02";"Månedsendring (prosent)";2,5
"B11 Norske varer";"2018M02";"12-måneders endring (prosent)";4,5
"B11 Norske varer";"2018M02";"Konsumprisindeksen. Vekter";175,3
"B11 Norske varer";"2018M03";"Konsumprisindeksen (2015=100)";113
"B11 Norske varer";"2018M03";"Månedsendring (prosent)";-0,2
"B11 Norske varer";"2018M03";"12-måneders endring (prosent)";5
"B11 Norske varer";"2018M03";"Konsumprisindeksen. Vekter";175,3
"B11 Norske varer";"2018M04";"Konsumprisindeksen (2015=100)";112,5
"B11 Norske varer";"2018M04";"Månedsendring (prosent)";-0,4
"B11 Norske varer";"2018M04";"12-måneders endring (prosent)";6,2
"B11 Norske varer";"2018M04";"Konsumprisindeksen. Vekter";175,3
"B11 Norske varer";"2018M05";"Konsumprisindeksen (2015=100)";112,3
"B11 Norske varer";"2018M05";"Månedsendring (prosent)";-0,2
"B11 Norske varer";"2018M05";"12-måneders endring (prosent)";4,7
"B11 Norske varer";"2018M05";"Konsumprisindeksen. Vekter";175,3
"B11 Norske varer";"2018M06";"Konsumprisindeksen (2015=100)";114,4
"B11 Norske varer";"2018M06";"Månedsendring (prosent)";1,9
"B11 Norske varer";"2018M06";"12-måneders endring (prosent)";6,3
"B11 Norske varer";"2018M06";"Konsumprisindeksen. Vekter";175,3
"B11 Norske varer";"2018M07";"Konsumprisindeksen (2015=100)";118,8
"B11 Norske varer";"2018M07";"Månedsendring (prosent)";3,8
"B11 Norske varer";"2018M07";"12-måneders endring (prosent)";8,8
"B11 Norske varer";"2018M07";"Konsumprisindeksen. Vekter";175,3
"B11 Norske varer";"2018M08";"Konsumprisindeksen (2015=100)";118,3
"B11 Norske varer";"2018M08";"Månedsendring (prosent)";-0,4
"B11 Norske varer";"2018M08";"12-måneders endring (prosent)";10
"B11 Norske varer";"2018M08";"Konsumprisindeksen. Vekter";175,3
"B11 Norske varer";"2018M09";"Konsumprisindeksen (2015=100)";118
"B11 Norske varer";"2018M09";"Månedsendring (prosent)";-0,3
"B11 Norske varer";"2018M09";"12-måneders endring (prosent)";9,5
"B11 Norske varer";"2018M09";"Konsumprisindeksen. Vekter";175,3
"B11 Norske varer";"2018M10";"Konsumprisindeksen (2015=100)";116,5
"B11 Norske varer";"2018M10";"Månedsendring (prosent)";-1,3
"B11 Norske varer";"2018M10";"12-måneders endring (prosent)";8,9
"B11 Norske varer";"2018M10";"Konsumprisindeksen. Vekter";175,3
"B11 Norske varer";"2018M11";"Konsumprisindeksen (2015=100)";119
"B11 Norske varer";"2018M11";"Månedsendring (prosent)";2,1
"B11 Norske varer";"2018M11";"12-måneders endring (prosent)";9,2
"B11 Norske varer";"2018M11";"Konsumprisindeksen. Vekter";175,3
"B11 Norske varer";"2018M12";"Konsumprisindeksen (2015=100)";117,9
"B11 Norske varer";"2018M12";"Månedsendring (prosent)";-0,9
"B11 Norske varer";"2018M12";"12-måneders endring (prosent)";9,4
"B11 Norske varer";"2018M12";"Konsumprisindeksen. Vekter";175,3
"B11 Norske varer";"2019M01";"Konsumprisindeksen (2015=100)";118,6
"B11 Norske varer";"2019M01";"Månedsendring (prosent)";0,6
"B11 Norske varer";"2019M01";"12-måneders endring (prosent)";7,4
"B11 Norske varer";"2019M01";"Konsumprisindeksen. Vekter";176
"B11 Norske varer";"2019M02";"Konsumprisindeksen (2015=100)";119,6
"B11 Norske varer";"2019M02";"Månedsendring (prosent)";0,8
"B11 Norske varer";"2019M02";"12-måneders endring (prosent)";5,7
"B11 Norske varer";"2019M02";"Konsumprisindeksen. Vekter";176
"B11 Norske varer";"2019M03";"Konsumprisindeksen (2015=100)";118,3
"B11 Norske varer";"2019M03";"Månedsendring (prosent)";-1,1
"B11 Norske varer";"2019M03";"12-måneders endring (prosent)";4,7
"B11 Norske varer";"2019M03";"Konsumprisindeksen. Vekter";176
"B11 Norske varer";"2019M04";"Konsumprisindeksen (2015=100)";117,5
"B11 Norske varer";"2019M04";"Månedsendring (prosent)";-0,7
"B11 Norske varer";"2019M04";"12-måneders endring (prosent)";4,4
"B11 Norske varer";"2019M04";"Konsumprisindeksen. Vekter";176
"B11 Norske varer";"2019M05";"Konsumprisindeksen (2015=100)";116,8
"B11 Norske varer";"2019M05";"Månedsendring (prosent)";-0,6
"B11 Norske varer";"2019M05";"12-måneders endring (prosent)";4
"B11 Norske varer";"2019M05";"Konsumprisindeksen. Vekter";176
"B11 Norske varer";"2019M06";"Konsumprisindeksen (2015=100)";115,2
"B11 Norske varer";"2019M06";"Månedsendring (prosent)";-1,4
"B11 Norske varer";"2019M06";"12-måneders endring (prosent)";0,7
"B11 Norske varer";"2019M06";"Konsumprisindeksen. Vekter";176
"B11 Norske varer";"2019M07";"Konsumprisindeksen (2015=100)";118,8
"B11 Norske varer";"2019M07";"Månedsendring (prosent)";3,1
"B11 Norske varer";"2019M07";"12-måneders endring (prosent)";0
"B11 Norske varer";"2019M07";"Konsumprisindeksen. Vekter";176
"B11 Norske varer";"2019M08";"Konsumprisindeksen (2015=100)";117
"B11 Norske varer";"2019M08";"Månedsendring (prosent)";-1,5
"B11 Norske varer";"2019M08";"12-måneders endring (prosent)";-1,1
"B11 Norske varer";"2019M08";"Konsumprisindeksen. Vekter";176
"B11 Norske varer";"2019M09";"Konsumprisindeksen (2015=100)";115,7
"B11 Norske varer";"2019M09";"Månedsendring (prosent)";-1,1
"B11 Norske varer";"2019M09";"12-måneders endring (prosent)";-1,9
"B11 Norske varer";"2019M09";"Konsumprisindeksen. Vekter";176
"B11 Norske varer";"2019M10";"Konsumprisindeksen (2015=100)";116,1
"B11 Norske varer";"2019M10";"Månedsendring (prosent)";0,3
"B11 Norske varer";"2019M10";"12-måneders endring (prosent)";-0,3
"B11 Norske varer";"2019M10";"Konsumprisindeksen. Vekter";176
"B11 Norske varer";"2019M11";"Konsumprisindeksen (2015=100)";118
"B11 Norske varer";"2019M11";"Månedsendring (prosent)";1,6
"B11 Norske varer";"2019M11";"12-måneders endring (prosent)";-0,8
"B11 Norske varer";"2019M11";"Konsumprisindeksen. Vekter";176
"B11 Norske varer";"2019M12";"Konsumprisindeksen (2015=100)";116
"B11 Norske varer";"2019M12";"Månedsendring (prosent)";-1,7
"B11 Norske varer";"2019M12";"12-måneders endring (prosent)";-1,6
"B11 Norske varer";"2019M12";"Konsumprisindeksen. Vekter";176
"B11 Norske varer";"2020M01";"Konsumprisindeksen (2015=100)";114,8
"B11 Norske varer";"2020M01";"Månedsendring (prosent)";-1
"B11 Norske varer";"2020M01";"12-måneders endring (prosent)";-3,2
"B11 Norske varer";"2020M01";"Konsumprisindeksen. Vekter";170,9
"B11 Norske varer";"2020M02";"Konsumprisindeksen (2015=100)";113,8
"B11 Norske varer";"2020M02";"Månedsendring (prosent)";-0,9
"B11 Norske varer";"2020M02";"12-måneders endring (prosent)";-4,8
"B11 Norske varer";"2020M02";"Konsumprisindeksen. Vekter";170,9
"B11 Norske varer";"2020M03";"Konsumprisindeksen (2015=100)";111,3
"B11 Norske varer";"2020M03";"Månedsendring (prosent)";-2,2
"B11 Norske varer";"2020M03";"12-måneders endring (prosent)";-5,9
"B11 Norske varer";"2020M03";"Konsumprisindeksen. Vekter";170,9
"B11 Norske varer";"2020M04";"Konsumprisindeksen (2015=100)";109,4
"B11 Norske varer";"2020M04";"Månedsendring (prosent)";-1,7
"B11 Norske varer";"2020M04";"12-måneders endring (prosent)";-6,9
"B11 Norske varer";"2020M04";"Konsumprisindeksen. Vekter";170,9
"B11 Norske varer";"2020M05";"Konsumprisindeksen (2015=100)";109,3
"B11 Norske varer";"2020M05";"Månedsendring (prosent)";-0,1
"B11 Norske varer";"2020M05";"12-måneders endring (prosent)";-6,4
"B11 Norske varer";"2020M05";"Konsumprisindeksen. Vekter";170,9
"B11 Norske varer";"2020M06";"Konsumprisindeksen (2015=100)";108
"B11 Norske varer";"2020M06";"Månedsendring (prosent)";-1,2
"B11 Norske varer";"2020M06";"12-måneders endring (prosent)";-6,3
"B11 Norske varer";"2020M06";"Konsumprisindeksen. Vekter";170,9
"B11 Norske varer";"2020M07";"Konsumprisindeksen (2015=100)";110,7
"B11 Norske varer";"2020M07";"Månedsendring (prosent)";2,5
"B11 Norske varer";"2020M07";"12-måneders endring (prosent)";-6,8
"B11 Norske varer";"2020M07";"Konsumprisindeksen. Vekter";170,9
"B11 Norske varer";"2020M08";"Konsumprisindeksen (2015=100)";110,3
"B11 Norske varer";"2020M08";"Månedsendring (prosent)";-0,4
"B11 Norske varer";"2020M08";"12-måneders endring (prosent)";-5,7
"B11 Norske varer";"2020M08";"Konsumprisindeksen. Vekter";170,9
"B11 Norske varer";"2020M09";"Konsumprisindeksen (2015=100)";110,8
"B11 Norske varer";"2020M09";"Månedsendring (prosent)";0,5
"B11 Norske varer";"2020M09";"12-måneders endring (prosent)";-4,2
"B11 Norske varer";"2020M09";"Konsumprisindeksen. Vekter";170,9
"B11 Norske varer";"2020M10";"Konsumprisindeksen (2015=100)";111,9
"B11 Norske varer";"2020M10";"Månedsendring (prosent)";1
"B11 Norske varer";"2020M10";"12-måneders endring (prosent)";-3,6
"B11 Norske varer";"2020M10";"Konsumprisindeksen. Vekter";170,9
"B11 Norske varer";"2020M11";"Konsumprisindeksen (2015=100)";109,7
"B11 Norske varer";"2020M11";"Månedsendring (prosent)";-2
"B11 Norske varer";"2020M11";"12-måneders endring (prosent)";-7
"B11 Norske varer";"2020M11";"Konsumprisindeksen. Vekter";170,9
"B11 Norske varer";"2020M12";"Konsumprisindeksen (2015=100)";111,7
"B11 Norske varer";"2020M12";"Månedsendring (prosent)";1,8
"B11 Norske varer";"2020M12";"12-måneders endring (prosent)";-3,7
"B11 Norske varer";"2020M12";"Konsumprisindeksen. Vekter";170,9
"B11 Norske varer";"2021M01";"Konsumprisindeksen (2015=100)";120,5
"B11 Norske varer";"2021M01";"Månedsendring (prosent)";7,9
"B11 Norske varer";"2021M01";"12-måneders endring (prosent)";5
"B11 Norske varer";"2021M01";"Konsumprisindeksen. Vekter";173,5
"B11 Norske varer";"2021M02";"Konsumprisindeksen (2015=100)";123,4
"B11 Norske varer";"2021M02";"Månedsendring (prosent)";2,4
"B11 Norske varer";"2021M02";"12-måneders endring (prosent)";8,4
"B11 Norske varer";"2021M02";"Konsumprisindeksen. Vekter";173,5
"B11 Norske varer";"2021M03";"Konsumprisindeksen (2015=100)";120,1
"B11 Norske varer";"2021M03";"Månedsendring (prosent)";-2,7
"B11 Norske varer";"2021M03";"12-måneders endring (prosent)";7,9
"B11 Norske varer";"2021M03";"Konsumprisindeksen. Vekter";173,5
"B11 Norske varer";"2021M04";"Konsumprisindeksen (2015=100)";120,1
"B11 Norske varer";"2021M04";"Månedsendring (prosent)";0
"B11 Norske varer";"2021M04";"12-måneders endring (prosent)";9,8
"B11 Norske varer";"2021M04";"Konsumprisindeksen. Vekter";173,5
"B11 Norske varer";"2021M05";"Konsumprisindeksen (2015=100)";121,1
"B11 Norske varer";"2021M05";"Månedsendring (prosent)";0,8
"B11 Norske varer";"2021M05";"12-måneders endring (prosent)";10,8
"B11 Norske varer";"2021M05";"Konsumprisindeksen. Vekter";173,5
"B11 Norske varer";"2021M06";"Konsumprisindeksen (2015=100)";120,7
"B11 Norske varer";"2021M06";"Månedsendring (prosent)";-0,3
"B11 Norske varer";"2021M06";"12-måneders endring (prosent)";11,8
"B11 Norske varer";"2021M06";"Konsumprisindeksen. Vekter";173,5
"B11 Norske varer";"2021M07";"Konsumprisindeksen (2015=100)";124,9
"B11 Norske varer";"2021M07";"Månedsendring (prosent)";3,5
"B11 Norske varer";"2021M07";"12-måneders endring (prosent)";12,8
"B11 Norske varer";"2021M07";"Konsumprisindeksen. Vekter";173,5
"B11 Norske varer";"2021M08";"Konsumprisindeksen (2015=100)";127,9
"B11 Norske varer";"2021M08";"Månedsendring (prosent)";2,4
"B11 Norske varer";"2021M08";"12-måneders endring (prosent)";16
"B11 Norske varer";"2021M08";"Konsumprisindeksen. Vekter";173,5
"B11 Norske varer";"2021M09";"Konsumprisindeksen (2015=100)";131,6
"B11 Norske varer";"2021M09";"Månedsendring (prosent)";2,9
"B11 Norske varer";"2021M09";"12-måneders endring (prosent)";18,8
"B11 Norske varer";"2021M09";"Konsumprisindeksen. Vekter";173,5
"B11 Norske varer";"2021M10";"Konsumprisindeksen (2015=100)";129,1
"B11 Norske varer";"2021M10";"Månedsendring (prosent)";-1,9
"B11 Norske varer";"2021M10";"12-måneders endring (prosent)";15,4
"B11 Norske varer";"2021M10";"Konsumprisindeksen. Vekter";173,5
"B11 Norske varer";"2021M11";"Konsumprisindeksen (2015=100)";133,9
"B11 Norske varer";"2021M11";"Månedsendring (prosent)";3,7
"B11 Norske varer";"2021M11";"12-måneders endring (prosent)";22,1
"B11 Norske varer";"2021M11";"Konsumprisindeksen. Vekter";173,5
"B11 Norske varer";"2021M12";"Konsumprisindeksen (2015=100)";136,7
"B11 Norske varer";"2021M12";"Månedsendring (prosent)";2,1
"B11 Norske varer";"2021M12";"12-måneders endring (prosent)";22,4
"B11 Norske varer";"2021M12";"Konsumprisindeksen. Vekter";173,5
"B11 Norske varer";"2022M01";"Konsumprisindeksen (2015=100)";133,6
"B11 Norske varer";"2022M01";"Månedsendring (prosent)";-2,3
"B11 Norske varer";"2022M01";"12-måneders endring (prosent)";10,9
"B11 Norske varer";"2022M01";"Konsumprisindeksen. Vekter";185,2
"B11 Norske varer";"2022M02";"Konsumprisindeksen (2015=100)";136,4
"B11 Norske varer";"2022M02";"Månedsendring (prosent)";2,1
"B11 Norske varer";"2022M02";"12-måneders endring (prosent)";10,5
"B11 Norske varer";"2022M02";"Konsumprisindeksen. Vekter";185,2
"B11 Norske varer";"2022M03";"Konsumprisindeksen (2015=100)";138,5
"B11 Norske varer";"2022M03";"Månedsendring (prosent)";1,5
"B11 Norske varer";"2022M03";"12-måneders endring (prosent)";15,3
"B11 Norske varer";"2022M03";"Konsumprisindeksen. Vekter";185,2
"B11 Norske varer";"2022M04";"Konsumprisindeksen (2015=100)";140,8
"B11 Norske varer";"2022M04";"Månedsendring (prosent)";1,7
"B11 Norske varer";"2022M04";"12-måneders endring (prosent)";17,2
"B11 Norske varer";"2022M04";"Konsumprisindeksen. Vekter";185,2
"B11 Norske varer";"2022M05";"Konsumprisindeksen (2015=100)";139,8
"B11 Norske varer";"2022M05";"Månedsendring (prosent)";-0,7
"B11 Norske varer";"2022M05";"12-måneders endring (prosent)";15,4
"B11 Norske varer";"2022M05";"Konsumprisindeksen. Vekter";185,2
"B11 Norske varer";"2022M06";"Konsumprisindeksen (2015=100)";143,2
"B11 Norske varer";"2022M06";"Månedsendring (prosent)";2,4
"B11 Norske varer";"2022M06";"12-måneders endring (prosent)";18,6
"B11 Norske varer";"2022M06";"Konsumprisindeksen. Vekter";185,2
"B11 Norske varer";"2022M07";"Konsumprisindeksen (2015=100)";149
"B11 Norske varer";"2022M07";"Månedsendring (prosent)";4,1
"B11 Norske varer";"2022M07";"12-måneders endring (prosent)";19,3
"B11 Norske varer";"2022M07";"Konsumprisindeksen. Vekter";185,2
"B11 Norske varer";"2022M08";"Konsumprisindeksen (2015=100)";149,4
"B11 Norske varer";"2022M08";"Månedsendring (prosent)";0,3
"B11 Norske varer";"2022M08";"12-måneders endring (prosent)";16,8
"B11 Norske varer";"2022M08";"Konsumprisindeksen. Vekter";185,2
"B11 Norske varer";"2022M09";"Konsumprisindeksen (2015=100)";152,9
"B11 Norske varer";"2022M09";"Månedsendring (prosent)";2,3
"B11 Norske varer";"2022M09";"12-måneders endring (prosent)";16,2
"B11 Norske varer";"2022M09";"Konsumprisindeksen. Vekter";185,2
"B111 Norske varer uten energivarer";"2015M01";"Konsumprisindeksen (2015=100)";97,9
"B111 Norske varer uten energivarer";"2015M01";"Månedsendring (prosent)";..
